"","Model1","Model2","inv_rmse_weights","inv_std_weights","inv_var_weights","uniform_by_type_weights","uniform_weights"
"1","LM","LM",0.972881876258408,0.972881876258408,0.972881876258408,0.972881876258408,0.972881876258408
"2","LM","BLUP",0.885414569572291,0.895013584186123,0.905442227199482,0.890367451988696,0.89135205072435
"3","LM","KNN",1.02589812632824,0.97858500501651,0.973252701550473,0.987902221027308,0.987902221027308
"4","LM","RNR",1.04514927936069,0.98529380583679,0.977570747344225,0.997717137134313,0.997717137134313
"5","LM","RF",0.96110657397526,0.955853519276462,0.95298196834552,0.958729444004915,0.958932307713982
"6","LM","SVR",0.94354529859367,0.942483794151635,0.945149449037519,0.943953532303671,0.943787302688772
"7","LM","DNN-CO",0.915200833895125,0.922302402462563,0.926710118437314,0.916097444127335,0.916047877950661
"8","LM","DNN-SO",0.947928589476689,0.947911902128494,0.948550032076009,0.947110605578438,0.946700485358471
"9","BLUP","LM",0.885414569572291,0.895013584186123,0.905442227199482,0.890367451988696,0.89135205072435
"10","BLUP","BLUP",0.897609638778184,0.899192607006081,0.900232145600613,0.899727865386002,0.896948358557796
"11","BLUP","KNN",0.978872097560207,0.928514719540813,0.917749895375473,0.930257517898026,0.930434085174968
"12","BLUP","RNR",0.996274497103809,0.935047680349826,0.928210861099036,0.946185915728265,0.944036089153026
"13","BLUP","RF",0.904768159000423,0.933271506503778,0.948106411740184,0.919909419609847,0.921250846911435
"14","BLUP","SVR",0.884089978125935,0.883874498555259,0.88582846434949,0.887952609257069,0.884235821101652
"15","BLUP","DNN-CO",0.893057575646971,0.890280967091533,0.890652650590667,0.891266001870969,0.888746563436552
"16","BLUP","DNN-SO",0.912678787582002,0.921672101596295,0.930403950985636,0.912417409486182,0.916511269513448
"17","KNN","LM",1.02589812632824,0.97858500501651,0.973252701550473,0.987902221027308,0.987902221027308
"18","KNN","BLUP",0.978872097560207,0.928514719540813,0.917749895375473,0.930257517898026,0.930434085174968
"19","KNN","KNN",1.06336312451037,1.06336312451037,1.06336312451037,1.06336312451037,1.06336312451037
"20","KNN","RNR",1.07335173196031,1.07334942394035,1.07334953130539,1.07334931657575,1.07334931657575
"21","KNN","RF",1.03360162528882,1.03356161213767,1.04355949198104,1.02694715370374,1.0269041710013
"22","KNN","SVR",1.02961365529758,0.98294487243324,0.974582064330756,0.987784829438957,0.98959911748925
"23","KNN","DNN-CO",1.00573068084137,0.962378974044497,0.957769094452562,0.96581468809323,0.966087749803592
"24","KNN","DNN-SO",1.02539373280884,0.995395456299433,0.993038993039263,1.0029313207498,1.0024906716174
"25","RNR","LM",1.04514927936069,0.98529380583679,0.977570747344225,0.997717137134313,0.997717137134313
"26","RNR","BLUP",0.996274497103809,0.935047680349826,0.928210861099036,0.946185915728265,0.944036089153026
"27","RNR","KNN",1.07335173196031,1.07334942394035,1.07334953130539,1.07334931657575,1.07334931657575
"28","RNR","RNR",1.09014981286904,1.09014981286904,1.09014981286904,1.09014981286904,1.09014981286904
"29","RNR","RF",1.05646864310886,1.04638402286555,1.05366167979661,1.04265351518587,1.04269095767226
"30","RNR","SVR",1.04927970722262,0.989881774677112,0.984647904416476,0.99837092338116,0.999368338712293
"31","RNR","DNN-CO",1.02319984681454,0.970291554166456,0.964387120065322,0.974683504015743,0.974280400976881
"32","RNR","DNN-SO",1.04372709822719,1.0044878144276,0.996563421590766,1.01753643925916,1.01614642202159
"33","RF","LM",0.96110657397526,0.955853519276462,0.95298196834552,0.958729444004915,0.958932307713982
"34","RF","BLUP",0.904768159000423,0.933271506503778,0.948106411740184,0.919909419609847,0.921250846911435
"35","RF","KNN",1.03360162528882,1.03356161213767,1.04355949198104,1.02694715370374,1.0269041710013
"36","RF","RNR",1.05646864310886,1.04638402286555,1.05366167979661,1.04265351518587,1.04269095767226
"37","RF","RF",1.10572380243942,1.1056367811209,1.10564037418647,1.10562084911625,1.10566802178179
"38","RF","SVR",0.97167261289437,0.976140032095368,0.985349398300892,0.967860768362027,0.967211513859327
"39","RF","DNN-CO",0.921797575032951,0.945784921569197,0.95658139944823,0.930421166206306,0.931000119964153
"40","RF","DNN-SO",0.967492368545963,0.976112609829605,0.973412306066959,0.977057527051635,0.976880836248582
"41","SVR","LM",0.94354529859367,0.942483794151635,0.945149449037519,0.943953532303671,0.943787302688772
"42","SVR","BLUP",0.884089978125935,0.883874498555259,0.88582846434949,0.887952609257069,0.884235821101652
"43","SVR","KNN",1.02961365529758,0.98294487243324,0.974582064330756,0.987784829438957,0.98959911748925
"44","SVR","RNR",1.04927970722262,0.989881774677112,0.984647904416476,0.99837092338116,0.999368338712293
"45","SVR","RF",0.97167261289437,0.976140032095368,0.985349398300892,0.967860768362027,0.967211513859327
"46","SVR","SVR",0.951141279156477,0.9506889734765,0.950778054009831,0.953789708493754,0.951254500061058
"47","SVR","DNN-CO",0.9180550189305,0.919903252463771,0.92050680844544,0.916717499519699,0.916755191190822
"48","SVR","DNN-SO",0.950609733518007,0.950546944484178,0.952461077367801,0.948249267512144,0.948897975923034
"49","DNN-CO","LM",0.915200833895125,0.922302402462563,0.926710118437314,0.916097444127335,0.916047877950661
"50","DNN-CO","BLUP",0.893057575646971,0.890280967091533,0.890652650590667,0.891266001870969,0.888746563436552
"51","DNN-CO","KNN",1.00573068084137,0.962378974044497,0.957769094452562,0.96581468809323,0.966087749803592
"52","DNN-CO","RNR",1.02319984681454,0.970291554166456,0.964387120065322,0.974683504015743,0.974280400976881
"53","DNN-CO","RF",0.921797575032951,0.945784921569197,0.95658139944823,0.930421166206306,0.931000119964153
"54","DNN-CO","SVR",0.9180550189305,0.919903252463771,0.92050680844544,0.916717499519699,0.916755191190822
"55","DNN-CO","DNN-CO",0.935958068648044,0.935832655815992,0.937213281016494,0.935238929725108,0.935019342602516
"56","DNN-CO","DNN-SO",0.942696989864536,0.946951439181076,0.949435356498674,0.94093908096402,0.940858732258541
"57","DNN-SO","LM",0.947928589476689,0.947911902128494,0.948550032076009,0.947110605578438,0.946700485358471
"58","DNN-SO","BLUP",0.912678787582002,0.921672101596295,0.930403950985636,0.912417409486182,0.916511269513448
"59","DNN-SO","KNN",1.02539373280884,0.995395456299433,0.993038993039263,1.0029313207498,1.0024906716174
"60","DNN-SO","RNR",1.04372709822719,1.0044878144276,0.996563421590766,1.01753643925916,1.01614642202159
"61","DNN-SO","RF",0.967492368545963,0.976112609829605,0.973412306066959,0.977057527051635,0.976880836248582
"62","DNN-SO","SVR",0.950609733518007,0.950546944484178,0.952461077367801,0.948249267512144,0.948897975923034
"63","DNN-SO","DNN-CO",0.942696989864536,0.946951439181076,0.949435356498674,0.94093908096402,0.940858732258541
"64","DNN-SO","DNN-SO",0.979597306187473,0.982901642495206,0.983143340358191,0.978169565167266,0.981632254731886
